-5, 0.649314, 0.0911938
5, 0.635972, 0.957463
-5, 0.864681, 0.248079
5, 0.341806, 0.393802
5, 0.0687143, 0.701783
5, 0.748506, 0.957197
5, 0.58499, 0.369625
-5, 0.673797, 0.0834069
-5, 0.89603, 0.30632
5, 0.221337, 0.434764
-5, 0.545746, 0.0735755
5, 0.283085, 0.418493
-5, 0.300333, 0.0325942
5, 0.169824, 0.827246
-5, 0.768722, 0.153732
-5, 0.896283, 0.271928
-5, 0.762556, 0.163777
5, 0.0513451, 0.652125
5, 0.681817, 0.957637
5, 0.0600552, 0.697059
5, 0.456007, 0.92871
5, 0.156685, 0.803827
-5, 0.87309, 0.480635
-5, 0.589937, 0.0975208
-5, 0.458564, 0.0775628
-5, 0.853313, 0.249043
-5, 0.673944, 0.581
-5, 0.757397, 0.155185
-5, 0.903888, 0.366303
-5, 0.882654, 0.219068
5, 0.168073, 0.501334
5, 0.160834, 0.506579
-5, 0.865575, 0.493255
-5, 0.944289, 0.341872
-5, 0.764397, 0.149823
5, 0.498127, 0.380819
-5, 0.721122, 0.108226
-5, 0.711073, 0.572807
-5, 0.642973, 0.0754026
5, 0.557416, 0.342841
-5, 0.371738, 0.0271172
-5, 0.663262, 0.581935
5, 0.395585, 0.386752
5, 0.205293, 0.817768
-5, 0.844607, 0.518706
-5, 0.236115, 0.0292138
-5, 0.271402, 0.66017
5, 0.352124, 0.902696
-5, 0.31517, 0.0543432
-5, 0.841701, 0.175115
5, 0.446825, 0.906505
5, 0.114513, 0.591645
-5, 0.341169, 0.0435652
5, 0.165592, 0.814196
5, 0.403583, 0.386824
5, 0.174291, 0.793184
-5, 0.511916, 0.634504
5, 0.188004, 0.504822
-5, 0.790795, 0.527609
5, 0.185411, 0.507039
5, 0.0415828, 0.628893
5, 0.734513, 0.975369
5, 0.411752, 0.389073
-5, 0.887134, 0.464669
5, 0.381134, 0.906774
-5, 0.947799, 0.385013
-5, 0.450506, 0.633327
-5, 0.202832, 0.010959
-5, 0.849452, 0.224067
-5, 0.286351, 0.638241
5, 0.104867, 0.707515
5, 0.102464, 0.574353
-5, 0.536464, 0.055709
5, 0.340252, 0.404837
5, 0.0631926, 0.610198
-5, 0.820926, 0.198462
-5, 0.669135, 0.580981
5, 0.76468, 0.331413
5, 0.670406, 0.956708
-5, 0.716161, 0.129126
-5, 0.780651, 0.184712
5, 0.663295, 0.953805
5, 0.0381499, 0.615659
5, 0.0779177, 0.584282
5, 0.0643624, 0.610152
-5, 0.478139, 0.638074
5, 0.43723, 0.922245
5, 0.760096, 0.335604
5, 0.292896, 0.454539
5, 0.447734, 0.390551
-5, 0.847573, 0.500472
-5, 0.761053, 0.152624
-5, 0.630146, 0.110536
-5, 0.698664, 0.577998
-5, 0.511727, 0.0694769
5, 0.256601, 0.443076
-5, 0.41628, 0.636325
5, 0.314936, 0.427572
5, 0.772472, 0.373428
-5, 0.795781, 0.157747
5, 0.44697, 0.390664
5, 0.173057, 0.532301
5, 0.536004, 0.949413
5, 0.252085, 0.863294
-5, 0.512511, 0.0638746
5, 0.460528, 0.918943
-5, 0.879823, 0.47981
5, 0.0980263, 0.666638
-5, 0.638005, 0.0746211
-5, 0.950574, 0.39854
-5, 0.731374, 0.11076
5, 0.0713676, 0.644211
5, 0.551081, 0.958832
5, 0.684551, 0.347855
5, 0.200578, 0.489106
-5, 0.94532, 0.403008
-5, 0.437388, 0.656669
5, 0.150652, 0.498386
-5, 0.85491, 0.175936
5, 0.721237, 0.964036
-5, 0.540106, 0.614064
5, 0.046415, 0.658109
5, 0.076336, 0.724407
-5, 0.947127, 0.362263
5, 0.105457, 0.756732
5, 0.0744335, 0.594308
-5, 0.543643, 0.0763538
-5, 0.800254, 0.496987
5, 0.0989771, 0.634298
5, 0.209264, 0.471793
5, 0.237847, 0.484221
5, 0.149918, 0.511147
-5, 0.802669, 0.516163
5, 0.56624, 0.370102
-5, 0.239772, 0.0199438
5, 0.226999, 0.472535
5, 0.200295, 0.450476
5, 0.22164, 0.841995
-5, 0.941401, 0.311041
5, 0.357913, 0.889274
5, 0.0479997, 0.671032
5, 0.110343, 0.59965
5, 0.34704, 0.414666
5, 0.752956, 0.942899
-5, 0.843138, 0.199007
-5, 0.746301, 0.565842
5, 0.113992, 0.615875
-5, 0.885253, 0.468009
5, 0.0692607, 0.590376
-5, 0.899123, 0.449148
-5, 0.834337, 0.194887
-5, 0.91035, 0.457539
-5, 0.520244, 0.0571414
-5, 0.381486, 0.0408074
-5, 0.907575, 0.214262
